kasvot|the face
pää|head
hiukset|hair
otsa|forehead
kulmakarvat|eyebrows
silmät|eyes
nenä|nose
posket|cheeks
korvat|ears
suu|mouth
hampaat|teeth
leuka|chin
kaula|neck
värit|colors
valkoinen|white
sininen|blue
harmaa|gray
keltainen|yellow
ruskea|brown
musta|black
oranssi|orange
punainen|red
vihreä|green
violetti|purple
ulkonäön kuvaus|physical description
Kuinka pitkä olet?|What's your height?
Olen 160 cm. / Olen 160-senttinen. / Olen 160 senttiä.|I'm one meter 60.
keskipituinen|of medium height
Kuinka painava olet? / Paljonko painat?|How much do you weigh?
Painan 55 kiloa.|I weigh 55 kilos.
laiha|thin, skinny
hoikka, solakka|thin, slender
Minkäväriset hiukset sinulla on?|What color is your hair?
Minulla on vaaleat / ruskeat / vaaleanruskeat / punaiset hiukset.|I have blond / brown / light brown, chestnut / red hair.
Hän on ...|He is... She is...
blondi.|a blond.
brunette.|a brunette.
punapää, punatukkainen.|a red-head.
Millaiset hiukset hänellä on?|What is his hair like?
Hänellä on pitkät/lyhyet/kiharat/suorat hiukset.|He has long / short / curly / straight hair.
Minkäväriset silmät sinulla on?|What color are your eyes?
Minulla on ruskeat silmät.|I have brown eyes.
Minkämuotoiset kasvot hänellä on?|What's the shape of his face?
Hänellä on kulmikkaat / pitkät / pyöreät kasvot.|He has a square / long / round face.
Hänellä on pyöreä / terävä nenä.|He has a snub / pointed nose.
Hänellä on isot korvat.|He has big ears.
Hänellä on...|He/She has...
silmälasit|glasses
arpi|scar
lävistys|body piercing
tatuointi|tattoo
luonnekuvaus|psychological description
aktiivinen|active
mukava|pleasant
kunnianhimoinen|ambitious
hauska|funny
ylimielinen|arrogant
rauhallinen|calm
kilpailunhaluinen|competitive
luova|creative
utelias|curious
kekseliäs, neuvokas|resourceful
epämukava, ikävä|unpleasant
hassu|funny
itsekäs|selfish
tylsä|boring
innokas|enthusiastic
olla hyvällä tuulella|to be in a good mood
olla huonolla tuulella|to be in a bad mood
hullu / häiriintynyt|crazy
suorasanainen, suora, suorapuheinen|frank
antelias|generous
ystävällinen, kiltti|kind, nice
iloinen|happy
rehellinen|honest
tekopyhä|hypocritical
idealisti|idealistic
epäpätevä|incapable, incompetent
välinpitämätön|indifferent
älykäs|intelligent
mielenkiintoinen, kiehtova|interesting
epärehellinen|dishonest
söpö|cute
hyväuskoinen, naiivi|naive
hermostunut|nervous
optimisti|optimistic
laiska|lazy
kärsivällinen|patient
pessimisti|pessimistic
teennäinen, turhamainen|pretentious
realisti|realistic
varautunut|reserved
herkkä|sensitive
vakava|serious
vilpitön, rehellinen|sincere
seurallinen|sociable
urheilullinen|athletic
jääräpäinen, itsepäinen|stubborn
ujo, arka|shy, timid
suvaitsevainen|tolerant
ahkera, uuttera, työteliäs|hard-working
adjektiivit ennen substantiivia|adjectives preceding the noun
toinen|other
kaunis|beautiful
hyvä|good
pitkä, suuri|tall, big
iso, lihava|big, fat
nuori|young
nätti|pretty
pitkä|long
paha, huono|bad
uusi|new
pieni|little
vanha|old
refleksiiviverbit|pronominal verbs
herätä|to wake up
nousta|to get up
peseytyä|to wash (oneself)
pukeutua|to dress (oneself)
pestä hampaansa|to brush your teeth
harjata hiuksensa|to brush your hair
meikata|to put on make-up
ajaa partansa|to shave
mennä nukkumaan|to go to bed
pitää hauskaa|to have fun
olla tylsistynyt|to be bored
kiirehtiä|to hurry
kävellä|to take a walk
levätä|to rest
suuttua|to get angry
