muoti|fashion
muotinäytös|fashion show
brändi, tavaramerkki|brand
hattu|hat
lakki|cap
vaatteet|clothes
verryttelypuku|tracksuit
alusvaatteet|underwear
rintaliivit|bra
alushousut|briefs
pikkuhousut|panties
bokserit|boxers
paita|man's shirt
pusero|blouse
poolopaita|polo shirt
t-paita|T-shirt
villapaita, villapusero, villatakki|sweater
housut|(a pair of) pants
farkut|jeans
shortsit|(shorter) shorts
bermudashortsit|(longer) shorts
vyö|belt
sukat|socks
kengät|shoes
koripallokengät|basketball shoes
saappaat|boots
sandaalit|sandals
tenniskengät, tennarit (informal)|tennis shoes
varvassandaalit|flip-flops
korkokengät|high-heels
mekko / leninki|dress
hame|skirt
housupuku|woman's suit
puku|man's suit
kravatti / solmio|tie
aurinkolasit|sunglasses
uimapuku|swimsuit
pusakka, nahkatakki, takki|short jacket, leather jacket
pikkutakki|jacket
päällystakki, takki|coat
anorakki|parka
sadetakki|raincoat
kaulahuivi, huivi|scarf
hansikkaat, käsineet, hanskat (informal)|gloves
harrastukset|pastimes
juoksu / mennä juoksemaan|running / to go running
hölkkä / mennä hölkkäämään, mennä lenkille (informal)|jogging / to go jogging
rullaluistelu / mennä rullaluistelemaan|roller blading / to go roller blading
pyöräily / mennä pyöräilemään|cycling / to go cycling
kiipeily / mennä kiipeilemään|rock-climbing / to go rock-climbing
voimaharjoittelu / voimaharjoitella, käydä salilla (informal but common)|weight training / to train with weights
uinti / mennä uimaan|swimming / to go swimming
melonta / mennä melomaan|canoeing / to go canoeing
kajakkimelonta / mennä melomaan kajakilla|kayaking / to go kayaking
maalaus / maalata (taidetta)|painting / to paint (art)
shakki / pelata shakkia|chess / to play chess
jooga / joogata |yoga
surffaus / surffata|surfing
ratsastus / ratsastaa|horseback riding
kunto ja terveys|fitness and health
allergia|allergy
flunssa|the flu
migreeni|migraine headache
vilustuminen|a cold
lääke|medicine
vitamiinit|vitamins
unilääke|sleeping pill
keho|the body
kurkku|throat
käsivarsi|arm
kyynärpää|elbow
ranne|wrist
käsi|hand
sormi|finger
rinta|chest
vatsa|stomach
selkä|back
takapuoli|rear, behind
pakarat|buttocks
jalka|leg
polvi / polvet|knee / knees
nilkka|ankle
jalkaterä|foot
varpaat|toes
adjektiivit|adjectives
muodissa, muodikas|in fashion
poissa muodista, vanhanaikainen|out of style
rento|casual
siisti, tyylikäs|dressy
hillitty|disciplined
urheilullinen, sporttinen|athletic
stressaantunut, rasittunut|stressed
sairas|sick
verbit|verbs
pukeutua|to get dressed
pukea|to put (on)
pitää (päällään)|to wear
istua hyvin/huonosti|to fit well/poorly
lihoa|to gain weight
olla dieetillä / laihduttaa|to be on a diet
kuntoilla|to exercise
laihtua|to lose weight
olla hyvässä kunnossa|to be in shape
sairastua|to get sick
yskiä|to cough
sattua (ruumiinosaan)|to hurt (body part)
(sattua päähän, päänsärky, selkäsärky, kipeät jalat, jne.)|(to have a headache, a backache, sore feet, etc)
levätä|to rest
rentoutua|to relax
tupakoida|to smoke
olla terve|to be in good health
kysymyslauseita|interrogative expressions
Mitä tapahtuu?|What is going on?
Mistä olet kiinnostunut?|What interests you?
Mikä vaivaa?|What bothers you?
Mitä pelkäät?|What scares you?
Mistä nautit?|What pleases you?
Mistä saat hupia?|What amuses you?
yleiskysymykset|impersonal questions
Täytyy (tehdä jotakin)|It is necessary (to)
On parempi (tehdä jotakin)|It is advisable (to), It is better (to)
On tärkeää (tehdä jotakin)|It is important (to)
On pakollista (tehdä jotakin)|It is necessary (to)
On välttämätöntä (tehdä jotakin)|It is essential (to)
Ehdottomasti täytyy (tehdä jotakin)|It is essential (to)
On hauskaa (tehdä jotakin)|It is fun (to) ...
On vaikeaa (tehdä jotakin)|It is difficult (to) ...
On helppoa (tehdä jotakin)|It is easy (to) ...
On väsyttävää/ärsyttävää (tehdä jotakin)|It is tiring/annoying (to) ...
