la cara|the face
la cabeza|head
el pelo|hair
la frente|forehead
las cejas|eyebrows
los ojos|eyes
la nariz|nose
las mejillas|cheeks
las orejas|ears
la boca|mouth
los dientes|teeth
la barbilla|chin
el cuello|neck
los colores|colors
blanco|white
azul|blue
gris|gray
amarillo|yellow
marrón|brown
negro|black
naranja|orange
rojo|red
verde|green
lila|purple
descripción física|physical description
¿Cuánto mides?|What's your height?
(Yo) mido un metro sesenta.|I'm one meter 60.
de altura media|of medium height
¿Cuánto pesas?|How much do you weigh?
(Yo) peso 55 kilos.|I weigh 55 kilos.
delagado, flaco|thin, skinny
delgado, esbelto|thin, slender
¿De que color es tu pelo?|What color is your hair?
(Yo) tengo el pelo rubio / marrón / castaño claro / pelirojo.|I have blond / brown / light brown, chestnut / red hair.
El es... Ella es...|He is... She is...
rubio. rubia.|a blond.
moreno. morena.|a brunette.
pelirojo. peliroja.|a red-head.
¿Cómo es su pelo?|What is his hair like?
(El) tiene el pelo largo / corto / rizado / liso.|He has long / short / curly / straight hair.
¿De qué color son tus ojos?|What color are your eyes?
Tengo ojos marrones.|I have brown eyes.
¿Qué forma tiene su cara?|What's the shape of his face?
(El) tiene cara cuadrada / alargada / redonda.|He has a square / long / round face.
(El) tiene un desaire / nariz puntiaguda.|He has a snub / pointed nose.
(El) tiene orejas grandes.|He has big ears.
(El)/(Ella) tiene...|He/She has...
gafas|glasses
una cicatriz|scar
una perforación|body piercing
un tatuaje|tattoo
descripción psciológica|psychological description
activo / activa|active
agradable|pleasant
ambicioso / ambiciosa|ambitious
divertido / divertida|funny
arrogante|arrogant
calmado / calmada|calm
competitivo / competitiva|competitive
creativo / creativa|creative
curioso / curiosa|curious
habilidoso / habilidosa|resourceful
desagradable|unpleasant
gracioso / divertida|funny
egoísta|selfish
aburrido / aburrida|boring
entusiasta|enthusiastic
estar de buen humor|to be in a good mood
estar de mal humor|to be in a bad mood
loco / loca|crazy
franco / franca|frank
generoso / generosa|generous
amable, amable|kind, nice
feliz|happy
honesto|honest
hipócrita|hypocritical
idealístico|idealistic
incapaz, incompetente|incapable, incompetent
indiferente|indifferent
inteligente|intelligent
interesante|interesting
deshonesto / deshonesta|dishonest
lindo / linda|cute
ingenuo / ingenua|naive
nervioso / nerviosa|nervous
optimista|optimistic
vago / vaga|lazy
paciente|patient
pesimista|pessimistic
pretencioso / pretenciosa|pretentious
realista|realistic
reservado|reserved
sensible|sensitive
serio / seria|serious
sincero|sincere
sociable|sociable
deportista|athletic
tozudo / tozuda|stubborn
tímido / tímida|shy, timid
tolerante|tolerant
trabajador / trabajadora|hard-working
adjectivos que van delante del sustantivo|adjectives preceding the noun
otro|other
hermoso / hermosa|beautiful
bueno / buena|good
alto / alta, grande|tall, big
grande, gordo / gorda|big, fat
joven|young
bonito / bonita|pretty
largo / larga|long
malo / mala|bad
nuevo / nueva|new
pequeño / pequeña|little
viejo / vieja|old
los verbos pronominales|pronominal verbs
despertarse|to wake up
levantarse|to get up
lavarse|to wash (oneself)
vestirse|to dress (oneself)
cepillarse los dientes|to brush your teeth
peinarse|to brush your hair
maquillarse|to put on make-up
afeitarse|to shave
irse a la cama|to go to bed
divertirse|to have fun
aburrirse|to be bored
apresurarse|to hurry
dar un paseo|to take a walk
descansar|to rest
enfadarse|to get angry
