la ciudad|the city
la plaza mayor|public square
una calle|street
un bulevar|boulevard
una avenida|avenue
vecindario|neighborhood
distrito financiero|administrative district in a large city (e.g. Paris)
el centro|downtown
los suburbios|suburbs
un edificio|building
una oficina|office
un bloque de pisos|apartment building
una casa|house
un hotel|hotel
una boutique|boutique
una tienda (de música, de video, etc.)|store (music, video, etc.)
el centro comercial|shopping center, mall
el supermercado|supermarket
una cafeteria|café
un restaurante|restaurant
un museo|museum
un cinema|movie theater
una discoteca|a nightclub, dance club
un teatro|theater
un estadio|stadium
un aparcamiento|parking lot
un parque|park
un jardín grande|park, large garden
un río|river
un puente|bridge
un banco|bank
una oficina de correos|post office
un buzón|mailbox
una cabina de teléfono|phone booth
una lavandería|launderette
el ayuntamiento|city hall, mayor's office
la oficina de turismo|chamber of commerce
un hospital|hospital
un aeropuerto|airport
una estación de tren|train station
una escuela|school
la secundaria|junior high, middle school
el bachillerato|high school
la universidad|university
la biblioteca|library
una iglesia|church
una catedral|cathedral
una mezquita|mosque
una sinagoga|synagogue
un templo|temple
una empresa pequeña|small businesses
un supermercado|grocery store
una carnicería|butcher shop
una charcutería|pork butchers shop, deli
una hostelería|deli, catering shop
una panadería|bakery
una pastelería|pastry shop
un estanco|tobacco shop
una librería|bookstore
una papelería|paper/stationery store
una farmacia|pharmacy
orientarse|getting your bearings
¿Dónde está... ?|Where is... ?
(¿Dónde está la oficina de correos?)|(Where is the post office?)
junto a, al lado de|beside, next to
a un paso de|just a step from
a la derecha|on the right
a la izquierda|on the left
en el otro extremo de|at the far end of
en la intersección de|at the intersection of
en el centro|in the center
en la esquina de|at the corner of
en la casa de alguien|at someones house
detrás|behind
en frente de|in front of
mirando en dirección contraria|facing, opposite
en la ciudad|in the city
lejos|far
cerca|near, close
debajo|under
sobre|on
a tu derecha/izquierda|on your right/left
recto|straight ahead
cerca|nearby
números ordinales|ordinal numbers
primero, primera|first
segundo|second
tercero|third
cuarto|fourth
quinto|fifth
sexto|sixth
séptimo|seventh
octavo|eighth
noveno|ninth
décimo|tenth
undécimo|eleventh
duodécimo|twelfth
décimo tercero|thirteenth
décimo cuarto|fourteenth
décimo quinto|fifteenth
décimo sexto|sixteenth
décimo séptimo|seventeenth
décimo octavo|eighteenth
décimo noveno|nineteenth
vigésimo|twentieth
verbos que usan ser en el pasado compuesto|verbs which use être in the compound past
ir|to go
salir|to go out
marchar|to leave
ir a casa, volver|to go home, to go back
regresar|to return
llegar|to arrive
entrar|to enter
quedarse|to stay
subir, subir las escaleras, escalar|to go up, to go upstairs, to climb
bajar, bajar las escaleras|to go down, to go downstairs
caerse|to fall
pasar|to pass, to go by (intransitive)
nacer|to be born
morir|to die
otros verbos|other verbs
conocer la ciudad|to get around (town)
coger el metro, un taxi, etc.|to take the metro, a taxi, etc.
ir a pie|to go on foot
caminar|to walk
girar|to turn
cruzar|to cross
continuar|to continue
preguntar (por)|to ask (for)
ser encontrado|to be found, to be located
esperar a|to wait for
escuchar|to hear
perder|to lose
entregar, devolver|to hand in, give back
visitar a alguien|to visit someone
responder|to answer
vender|to sell
participios irregulares|irregular past participles
tener: (yo) tuve ...|to have: I had ...
beber: (yo) bebí ...|to drink: I drank ...
ser/estar: (yo) era/estuve ...|to be: I was ...
creer: (yo) creí ...|to believe: I believed ...
hacer: (yo) hice ...|to do: I did ...
ver: (yo) ví ...|to see: I saw ...
coger/tomar: (yo) cogí/tomé ...|to take: I took ...
morir: (él/ella) murió ...|to die: he/she died ...
poner: (yo) puse ...|to put: I put ...
nacer: (él/ella) nació ...|to be born: he/she was born ...
