Χαιρετίσματα|salutations|greetings
Κύριε|Monsieur|Sir
Κύρια|Madame|Ma'am (Mrs.)
Κύρια|Mademoiselle|Miss
Γειά σας, Κύριε|Bonjour, Monsieur|Good day (Hello), Sir
Καλό απόγεθμα|Bonsoir|Good evening
Γeιά σας|Au revoir|Goodbye
Γειά!|Salut!|Hi!
Τα λέμε λίγο|À tout à l'heure!|See you in a little while.
Τα λέμε απόψε|À ce soir.|See you this evening.
Τα λέμε αύριο|À demain.|See you tomorrow.
|À bientôt.|See you soon.
|Comment vous appelez-vous?|What's your name? (formal)
Πως σε λένε;|Comment tu t'appelles? (Comment t'appelles-tu?)|What's your name? (informal)
Με λένε ...|Je m'appelle ...|My name is ...
Τι κάνεις;|Comment allez-vous?|How are you? (formal)
|Comment vas-tu?|How are you? (informal)
Είμαι πολύ καλά, ευχαριστώ|Je vais très bien, merci.|I am very well, thank you.
Είμαι καλά, ευχαριστώ|Je vais bien, merci.|I am fine, thank you.
|Pas mal, merci.|Not bad, thank you.
|Comment ça va?|How are things going?
Υπέροχα, ευχαριστώ!|Bien, merci!|Great, thanks!
Τα πράγματα πάνε καλά;|Ça va (bien)?|Are things going (well)?
Τα πράγματα πάνε καλά|Ça va bien.|Things are going (well).
Και εσύ; Άπο που είσαι;|Et vous? Vous êtes d'où?|And you? Where are you from? (formal)
Και εσύ; Άπο που είσαι;|Et toi? Tu es d'où?|And you? Where are you from? (informal)
Σύσταση|présentations|introductions
Κύριε, θέλω να σε συστήσω στο/στην ...|Monsieur, je vous présente ...|Sir, I would like to introduce to you ... (formal)
Αυτή/Αυτό είναι Η/Ο ...|Je te présente ...|This is ... (informal)
Αυτή/Αυτό είναι Η/Ο ...|Voici ...|This is ...
Ποιος είναι;|Qui est-ce?|Who is it?
Είναι Η/Ο ...|C'est ...|It's ...
Είναι ...|Ce sont ...|They are ...
Τι είναι το όνομα της/του;|Comment s'appelle-t-il/elle?|What's his/her name?
Το όνομα του/της είναι ...|Il/Elle s'appelle ...|His/Her name is ...
Είναι απο το/την ...|Il/Elle est de ...|He/She is from ...
Ποια είναι τα ονόματα τους;|Comment s'appellent-ils/elles?|What are their names?
Τα ονόματα τους είναι ...|Ils/Elles s'appellent ...|Their names are ...
Τι κάνει;|Qu'est-ce qu'il/elle fait?|What does he/she do?
Τι κάνουν;|Qu'est-ce qu'ils/elles font?|What do they do?
Είναι ...|Il est ... Elle est ...|He/She is a/an ...
Ηθοποιός|acteur / actrice|actor / actress
Αρχιτέκτονας|architecte|architect
Τραγουδιστής/Τραγουδίστρια|chanteur / chanteuse|singer
Κομμωτής/Κομμώτρια|coiffeur / coiffeuse|hair dresser
Οδοντίατρος|dentiste|dentist
Μηχανικός|ingénieur|engineer
Δημοσιογράφος|journaliste|journalist
Γιατρός|médecin|doctor
Δάσκαλος/Δασκάλα|professeur|teacher, professor
|retraité / retraitée|retired man/woman
|stagiaire|intern
Η τάξη|la salle de classe|the classroom
Τι είναι;|Qu'est-ce que c'est?|What is it?
Είναι ...|C'est ...|It's ...
Είναι μια τάξη.|C'est une salle de classe.|It's a classroom.
Στην τάξη, υπάρχει ...|Dans la salle de classe, il y a ...|In the classroom, there is ...
Πόρτα|une porte|door
Παράθυρο|une fenêtre|window
Πίνακας (μαύρος)|un tableau (noir)|blackboard
Τηλεόραση|une télévision|television
Ένας χάρτης (γεογραφικός)|une carte (du monde)|map (of the world)
Εικόνα|une affiche|poster
Καρέκλα|une chaise|chair
Γραφείο|un bureau|desk
Στο γραφείο, υπάρχει ...|Sur le bureau, il y a ...|On the desk, there is ...
Κιμωλία|une craie|chalk
Μολύβι|un crayon|pencil
Στυλό|un stylo|pen
|un cahier|notebook
Βιβλίο|un livre|book
Λεξικό|un dictionnaire|dictionary
Σακίδιο|un sac à dos|backpack
Στο εργαστήριο, υπάρχουν ...|Au labo, il y a ...|In the lab, there are ...
Υπολογιστές|des ordinateurs (m)|computers
Οι μαθητές εργάζονται!|Les étudiants travaillent!|The students work!
|des devoirs (m)|homework
Άσκηση|un exercice|exercise
Εξέταση|un examen|test
Στην τάξη|en classe|in class
Άκου|Écoutez.|Listen.
Γράφε|Écrivez.|Write.
Σήκωσε το χέρι σου|Levez le doigt.|Raise your finger (hand).
|Répétez.|Repeat.
Ανοίξτε τα βιβλία σας|Ouvrez vos livres.|Open your books.
|Ouvrez le livre à la page ...|Turn to page ...
Σε παρακαλώ|s'il vous plaît|please
Καταλαβαίνεις;|Vous comprenez?|Do you understand?
Ναί, καταλαβαίνω.|Oui, je comprends.|Yes, I understand.
'Οχι, δεν καταλαβαίνω.|Non, je ne comprends pas.|No, I don't understand.
Τι σημαίνει ... ;|Que veut dire ...?|What does ... mean?
Πως λες ... ;|Comment dit-on ...?|How do you say ...?
Εδώ είναι ...|Voici ...|Here is ... (here are ...)
Υπάρχει ... (Υπάρχουν ...)|Voilà ...|There is ... (there are ...)
Υπάρχει ... (Υπάρχουν ...)|Il y a ...|There is, there are ...
Πόσα/Πόσες ... υπάρχουν;|Il y a combien de ...?|There are how many ...?
Τους βασικούς αριθμούς 1-69|les nombres cardinaux 1-69|Cardinal Numbers 1-69
Ένα|un, une|1
Δύο|deux|2
Τρία|trois|3
Τέσσερα|quatre|4
Πέντε|cinq|5
Έξι|six|6
Επτά|sept|7
Οκτώ|huit|8
Εννέα|neuf|9
Δέκα|dix|10
Έντεκα|onze|11
Δώδεκα|douze|12
Δέκατρια|treize|13
Δεκατέσσερα|quatorze|14
Δεκαπέντε|quinze|15
Δεκαέξι|seize|16
Δεκαεπτά|dix-sept|17
Δεκαοκτώ|dix-huit|18
Δεκαεννέα|dix-neuf|19
Είκοσι|vingt|20
Είκοσι ένα|vingt et un|21
Είκοσι δύο|vingt-deux|22
Είκοσι τρία|vingt-trois|23
Είκοσι τέσσερα|vingt-quatre|24
Είκοσι πέντε|vingt-cinq|25
Είκοσι έξι|vingt-six|26
Είκοσι επτά|vingt-sept|27
Είκοσι οκτώ|vingt-huit|28
Είκοσι εννέα|vingt-neuf|29
Τριάντα|trente|30
Τριάντα ένα|trente et un|31
Τριάντα δύο|trente-deux|32
Τριάντα εννέα|trente-neuf|39
Σαράντα|quarante|40
Σαράντα ένα|quarante et un|41
Σαράντα δύο|quarante-deux|42
Σαράντα εννέα|quarante-neuf|49
Πενήντα|cinquante|50
Πενήντα ένα|cinquante et un|51
Πενήντα δύο|cinquante-deux|52
Πενήντα εννέα|cinquante-neuf|59
Εξήντα|soixante|60
Εξήντα ένα|soixante et un|61
Εξήντα δύο|soixante-deux|62
Εξήντα εννέα|soixante-neuf|69
Η ημερομηνία|la date|the date
Ημερολόγιο|le calendrier|calendar
Μέρα|le jour|day
Ποιες είναι οι μέρες της εβδομάδας;|Quels sont les jours de la semaine?|What are the days of the week?
Δευτέρα|lundi|Monday
Τρίτη|mardi|Tuesday
Τετάρτη|mercredi|Wednesday
Πέμπτη|jeudi|Thursday
Παρασκευή|vendredi|Friday
Σάββατο|samedi|Saturday
Κυριακή|dimanche|Sunday
Τι μέρα είναι;|C'est quel jour?|What day is it?
Είναι Δευτέρα.|C'est lundi.|It's Monday.
Σήμερα|aujourd'hui|today
Άυριο|demain|tomorrow
Εβδομάδα|la semaine|week
Την επόμενη εβδομάδα|la semaine prochaine|next week
Την προηγούμενη εβδομάδα|la semaine dernière|last week
Ποια είναι η ημερομηνία;|Quelle est la date?|What's the date?
Είναι η πρώτη του Σεπτεμβρίου.|C'est le premier septembre.|It's September 1st.
Είναι η δεύτερη του Οκτωβρίου.|C'est le deux octobre.|It's October 2nd.
Είναι το τριακοστό του Αυγούστου.|C'est le 30 août.|It's August 30th.
Μήνας|le mois|month
Ποιοι είναι οι μήνες του έτους;|Quels sont les mois de l'année?|What are the months of the year?
Ιανουάριος|janvier|January
Φεβρουάριος|février|February
Μάρτιος|mars|March
Απρίλιος|avril|April
Μαΐος|mai|May
Ioύνιος|juin|June
Ιούλιος|juillet|July
Αύγουστος|août|August
Σεπτέμβριος|septembre|September
Οχτώβριος|octobre|October
Νοέμβριος|novembre|November
Δεκέμβριος|décembre|December
