el tiempo|le temps|weather
¿Qué tiempo hace?|Quel temps fait-il?|What's the weather?
Hace bueno.|Il fait beau.|It's nice.
Hace calor.|Il fait chaud.|It's hot.
Hace sol.|Il fait du soleil. / Il y a du soleil.|It's sunny.
Hace fresco.|Il fait frais.|It's cool.
Hace mal tiempo.|Il fait mauvais.|It's bad.
Hace frío.|Il fait froid.|It's cold.
Hay niebla.|Il fait du brouillard. / Il y a du brouillard.|It's foggy.
Hace viento.|Il fait du vent. / Il y a du vent.|It's windy.
Está nublado.|Il y a des nuages.|It's cloudy.
Hay tormenta.|Il y a des orages.|There are storms.
Está lloviendo.|Il pleut.|It's raining.
Está nevando.|Il neige.|It's snowing.
las estaciones|les saisons|seasons
la primavera / en primavera|le printemps / au printemps|spring / in the spring
el verano / en verano|l'été (m) / en été|summer / in the summer
el otoño / en otoño|l'automne (m) / en automne|fall / in the fall
invierno / en invierno|l'hiver (m) / en hiver|winter / in the winter
la geografía|la géographie|geography
el campo|la campagne|countryside
pueblo, ciudad|la ville|town, city
una provincia|une province|province
una región|une région|region
un lago|un lac|lake
un río mayor|un fleuve|major river (that flows to the sea)
el Loira (río)|la Loire|the Loire (river)
el Garona (río)|la Garonne|the Garonne (river)
el Ródano (río)|le Rhône|the Rhône (river)
el Sena (río)|la Seine|the Seine (river)
el mar|la mer|sea
el mar Mediterráneo|la mer Méditerranée|the Mediterranean Sea
el océano|l'océan (m)|ocean
el oceáno Atlántico|l'océan Atlantique|the Atlantic Ocean
el Canal de la Mancha|la Manche|the English Channel
la playa|la plage|beach
un bosque|une forêt|forest
la montaña|la montagne|mountain
los Alpes|les Alpes (f)|the Alps
el Macizo del Jura (montañas)|le Jura|the Jura (mountains)
los Pirineos|les Pyrénées (f)|the Pyrenees
el Macizo Central|le Massif Central|the Massif Central
la Cordillera de los Vosgos|les Vosges (f)|the Vosges
los puntos cardinales|les points cardinaux|points of the compass
en el norte|dans le nord / au nord|in the north
en el sud|dans le sud / au sud|in the south
en el este|dans l'est / à l'est|in the east
en el oeste|dans l'ouest / à l'ouest|in the west
en el centro|au centre|in the center
en la costa|sur la côte|on the coast
la Francia|L'Hexagone|France
la Alsacia|l'Alsace (f)|Alsace
