il tiempo|le temps|weather
|Quel temps fait-il?|What's the weather?
|Il fait beau.|It's nice.
|Il fait chaud.|It's hot.
|Il fait du soleil. / Il y a du soleil.|It's sunny.
|Il fait frais.|It's cool.
|Il fait mauvais.|It's bad.
|Il fait froid.|It's cold.
|Il fait du brouillard. / Il y a du brouillard.|It's foggy.
|Il fait du vent. / Il y a du vent.|It's windy.
|Il y a des nuages.|It's cloudy.
|Il y a des orages.|There are storms.
|Il pleut.|It's raining.
|Il neige.|It's snowing.
|les saisons|seasons
|le printemps / au printemps|spring / in the spring
|l'été (m) / en été|summer / in the summer
|l'automne (m) / en automne|fall / in the fall
|l'hiver (m) / en hiver|winter / in the winter
|la géographie|geography
|la campagne|countryside
|la ville|town, city
|une province|province
una regione|une région|region
|un lac|lake
|un fleuve|major river (that flows to the sea)
|la Loire|the Loire (river)
|la Garonne|the Garonne (river)
|le Rhône|the Rhône (river)
|la Seine|the Seine (river)
|la mer|sea
|la mer Méditerranée|the Mediterranean Sea
|l'océan (m)|ocean
|l'océan Atlantique|the Atlantic Ocean
|la Manche|the English Channel
la spiaggia|la plage|beach
|une forêt|forest
|la montagne|mountain
|les Alpes (f)|the Alps
|le Jura|the Jura (mountains)
|les Pyrénées (f)|the Pyrenees
|le Massif Central|the Massif Central
|les Vosges (f)|the Vosges
|les points cardinaux|points of the compass
|dans le nord / au nord|in the north
|dans le sud / au sud|in the south
|dans l'est / à l'est|in the east
|dans l'ouest / à l'ouest|in the west
|au centre|in the center
|sur la côte|on the coast
|L'Hexagone|France
|l'Alsace (f)|Alsace
|la Bourgogne|Burgundy
|la Bretagne|Brittany
|la Côte d'Azur|the Riviera
|la Corse|Corsica
|l'Ile de France (f)|Ile de France
|(la région parisienne)|(Parisian region)
|la Lorraine|Lorraine
|la Normandie|Normandy
|la Provence|Provence
|la Vallée de la Loire|the Loire Valley
|les activités|activities
andare|aller|to go
|aller au cinéma|to go to the movies
|aller en boîte|to go clubbing
|aller au concert|to go to a concert
|aller à l'université|to go to the university
|aller au parc|to go to the park
|faire de la bicyclette|to go bicycle riding
|faire du bateau|to go boating
|faire de la planche à voile|to go windsurfing
|faire des randonnées|to go hiking
|faire du ski|to go skiing
|faire du vélo|to go cycling
|faire de la voile|to go sailing
|faire une promenade|to take a walk
|passer les vacances (f pl)|spend a vacation
|visiter... (un lieu, pas une personne)|to visit... (a place, not a person)
una cattedrale|une cathédrale|a cathedral
|un château|a castle
|une exposition|an exhibition, show
un monumento|un monument|a monument
un museo|un musée|a museum
|les transports|means of transport
|Comment voyagez-vous?|How do you travel?
|Je voyage...|I travel...
|en avion / un avion|by plane / plane
|en bateau / un bateau|by boat / boat
|en train / un train|by train / train
|en car / un car|by tour bus (from city to city) / tour bus
|en voiture / une voiture|by car / car
|Comment allez-vous... (à l'université, chez vos parents, au travail, etc.)?|How do you go... (to the university, to your parents' house, to work, etc.) ?
|Je vais...|I go...
|en métro / le métro|by subway / subway
|en bus / un bus|by bus / bus
|en taxi / un taxi|by taxi / taxi
|à moto / une moto|by motorcycle / motorcycle
|à vélo / un vélo|by bicycle / bicycle
|à pied|on foot
|verbes|verbs
comprare|acheter|to buy
|amener|to bring somebody (along)
cambiare|changer|to change
dormire|dormir|to sleep
|emmener|to take somebody (along)
sperare|espérer|to hope
provare|essayer|to try
mangiare|manger|to eat
|nager|to swim
|partager|to share
partire|partir|to leave
sortire|sortir|to go out
|les nombres cardinaux 70-100|Cardinal Numbers 70-100
settanta|soixante-dix|70
sessantuno|soixante et onze|71
sessantadue|soixante-douze|72
sessantatré|soixante-treize|73
sessantaquattro|soixante-quatorze|74
sessantacinque|soixante-quinze|75
sessantasei|soixante-seize|76
sessantasette|soixante-dix-sept|77
sessantotto|soixante-dix-huit|78
sessantanove|soixante-dix-neuf|79
ottanta|quatre-vingts|80
ottantuno|quatre-vingt-un|81
ottantadue|quatre-vingt-deux|82
ottantatré|quatre-vingt-trois|83
ottantaquattro|quatre-vingt-quatre|84
ottantacinque|quatre-vingt-cinq|85
ottantasei|quatre-vingt-six|86
ottantasette|quatre-vingt-sept|87
ottantotto|quatre-vingt-huit|88
ottantanove|quatre-vingt-neuf|89
novanta|quatre-vingt-dix|90
novantuno|quatre-vingt-onze|91
novantadue|quatre-vingt-douze|92
novantatré|quatre-vingt-treize|93
novantaquattro|quatre-vingt-quatorze|94
novantacinque|quatre-vingt-quinze|95
novantasei|quatre-vingt-seize|96
novantasette|quatre-vingt-dix-sept|97
novantotto|quatre-vingt-dix-huit|98
novantanove|quatre-vingt-dix-neuf|99
cento|cent|100
centodue|cent deux|102
duecento|deux cents|200
mile|mille|1.000
duemile|deux mille|2.000
un milione|un million|1.000.000
