la città|la ville|the city
|une place|public square
|une rue|street
|un boulevard|boulevard
|une avenue|avenue
|un quartier|neighborhood
|l'arrondissement (m)|administrative district in a large city (e.g. Paris)
|le centre-ville|downtown
|la banlieue|suburbs
|un bâtiment|building
|un bureau|office
|un immeuble|apartment building
una casa|une maison|house
un'albergo|un hôtel|hotel
|une boutique|boutique
|un magasin (de musique, de vidéo, etc.)|store (music, video, etc.)
|un centre commercial|shopping center, mall
un supermercato|un supermarché|supermarket
|un café|café
un ristorante|un restaurant|restaurant
un museo|un musée|museum
un cinema|un cinéma|movie theater
|une boîte de nuit / une discothèque|a nightclub, dance club
un teatro|un théâtre|theater
|un stade|stadium
|un parking|parking lot
|un parc|park
|un jardin public|park, large garden
|un fleuve|river
|un pont|bridge
|une banque|bank
|un bureau de poste|post office
|une boîte aux lettres|mailbox
|une cabine téléphonique|phone booth
|une laverie|launderette
|l'hôtel de ville (m), la mairie|city hall, mayor's office
|l'office du tourisme (m)|chamber of commerce
|un hôpital|hospital
un aeroporto|un aéroport|airport
una stazione|une gare|train station
|une école (6 ans à 11 ans)|school
|un collège (11 ans à 15 ans)|junior high, middle school
|un lycée (15 ans à 18 ans)|high school
|une université|university
|une bibliothèque|library
una chiesa|une église|church
una cattedrale|une cathédrale|cathedral
|une mosquée|mosque
|une synagogue|synagogue
|un temple|temple
|les petits commerces|small businesses
|une épicerie|grocery store
|une boucherie|butcher shop
|une charcuterie|pork butchers shop, deli
|un traiteur|deli, catering shop
|une boulangerie|bakery
|une pâtisserie|pastry shop
|un bureau de tabac|tobacco shop
|une librairie|bookstore
|une papeterie|paper/stationery store
|une pharmacie|pharmacy
|s'orienter|getting your bearings
|Où se trouve... ?|Where is... ?
|(Où se trouve la poste?)|(Where is the post office?)
|à côté (de)|beside, next to
|à deux pas (de)|just a step from
alla destra (di)|à droite (de)|on the right
alla sinistra (di)|à gauche (de)|on the left
|au bout (de)|at the far end of
|au carrefour (de)|at the intersection of
al centro|au centre|in the center
|au coin (de)|at the corner of
|chez|at someones house
|derrière|behind
|devant|in front of
|en face (de)|facing, opposite
alla cita|en ville|in the city
|loin (de)|far
vicino (di)|près (de)|near, close
sotto|sous|under
sul|sur|on
nella sua destra/sinistra|sur votre droite/gauche|on your right/left
tutto dritto|tout droit|straight ahead
vicino|tout près|nearby
|les nombres ordinaux|ordinal numbers
primo, prima|premier, première|first
secondo|deuxième|second
terzo|troisième|third
quarto|quatrième|fourth
quinto|cinquième|fifth
sesto|sixième|sixth
settimo|septième|seventh
ottavo|huitième|eighth
nono|neuvième|ninth
decimo|dixième|tenth
undicesimo|onzième|eleventh
dodicesimo|douzième|twelfth
tredicesimo|treizième|thirteenth
quattordicesimo|quatorzième|fourteenth
quindicesimo|quinzième|fifteenth
sedicesimo|seizième|sixteenth
diciassettesimo|dix-septième|seventeenth
diciottesimo|dix-huitième|eighteenth
diciannovesimo|dix-neuvième|nineteenth
ventesimo|vingtième|twentieth
|verbes qui prennent être au passé composé|verbs which use être in the compound past
andare|aller|to go
|sortir|to go out
partire|partir|to leave
|rentrer|to go home, to go back
ritornare|retourner|to return
arrivare|arriver|to arrive
entrare|entrer|to enter
restare|rester|to stay
ascendere|monter|to go up, to go upstairs, to climb
scendere|descendre|to go down, to go downstairs
cadere|tomber|to fall
|passer|to pass, to go by (intransitive)
nascere|naître|to be born
morire|mourir|to die
altri verbi|autres verbes|other verbs
|se déplacer (en ville)|to get around (town)
|prendre le métro, un taxi, etc.|to take the metro, a taxi, etc.
|aller à pied|to go on foot
camminare|marcher|to walk
tornare|tourner|to turn
traversare|traverser|to cross
|continuer|to continue
mandare|demander|to ask (for)
trovare|se trouver|to be found, to be located
aspettare|attendre|to wait for
ascoltare|entendre|to hear
perdere|perdre|to lose
|rendre|to hand in, give back
|rendre visite à quelqu'un|to visit someone
rispondere|répondre|to answer
vendere|vendre|to sell
|participes passés irréguliers|irregular past participles
avere: ho avuto ...|avoir: j'ai eu ...|to have: I had ...
bere: ho bevuto|boire: j'ai bu ...|to drink: I drank ...
essere: ho stato ...|être: j'ai été ...|to be: I was ...
credere: ho creduto ...|croire: j'ai cru ...|to believe: I believed ...
fare: ho fatto ...|faire: j'ai fait ...|to do: I did ...
vere: ho visto ...|voir: j'ai vu ...|to see: I saw ...
prendere: ho preso ...|prendre: j'ai pris ...|to take: I took ...
mettere: ho metto ...|mettre: j'ai mis ...|to put: I put ...
|naître: il est né / elle est né(e) ...|to be born: he/she was born ...
