salutaciones|greetings
Señor|Sir
Señora|Ma'am (Mrs.)
Señorita|Miss
Buenos días (hola), señor|Good day (Hello), Sir
Buenas tardes|Good evening
Adiós|Goodbye
Hola!|Hi!
Te veo en un rato.|See you in a little while.
Te veo esta tarde.|See you this evening.
Hasta mañana.|See you tomorrow.
Hasta luego.|See you soon.
¿Cuál es tu nombre?|What's your name? (formal)
¿Cómo te llamas?|What's your name? (informal)
Me llamo ...|My name is ...
¿Cómo estas?|How are you? (formal)
¿Qué tal?|How are you? (informal)
Estoy muy bien, gracias.|I am very well, thank you.
Estoy bien, gracias.|I am fine, thank you.
Nada mal, gracias.|Not bad, thank you.
¿Cómo va todo?|How are things going?
Estupendo, gracias!|Great, thanks!
Las cosas van bien.|Things are going (well).
¿Cómo van las cosas?|Are things going (well)?
¿Y usted? de dónde es?|And you? Where are you from? (formal)
¿Y tú? de dónde eres?|And you? Where are you from? (informal)
presentaciones|introductions
Señor, me gustaría presentarme ...|Sir, I would like to introduce to you ... (formal)
Soy ...|This is ... (informal)
Este es ...|This is ...
¿Quién es?|Who is it?
Es ...|It's ...
(Ellos) son|They are ...
¿Cómo se llama?|What's his/her name?
Su nombre es ...|His/Her name is ...
(El/Ella) es de ...|He/She is from ...
¿Cómo se llaman?|What are their names?
Sus nombres son ...|Their names are ...
¿Qué (el/ella) hace?|What does he/she do?
¿Qué (ellos) hacen?|What do they do?
(El/Ella) es un/una ... |He/She is a/an ...
actor / actriz/actor|actor / actress
arquitecto / arquitecta|architect
cantante|singer
peluquero / peluquera|hair dresser
dentista|dentist
ingeniero / igeniera|engineer
periodista|journalist
doctor / doctora|doctor
profesor / profesora|teacher, professor
jubilado / jubilada|retired man/woman
interno / interna|intern
la clase|the classroom
¿Qué es esto?|What is it?
Esto es ...|It's ...
Es una clase.|It's a classroom.
En la clase, hay ...|In the classroom, there is ...
una puerta|door
una ventana|window
una pizarra|blackboard
una television|television
un mapa (del mundo)|map (of the world)
un poster|poster
una silla|chair
un escritorio|desk
En el escritorio, hay ...|On the desk, there is ...
una tiza|chalk
un lápiz|pencil
un bolígrafo|pen
una libreta|notebook
un libro|book
un diccionario|dictionary
una mochila|backpack
En el laboratorio, hay ...|In the lab, there are ...
ordenadores|computers
Los estudiantes trabajan!|The students work!
los deberes|homework
el ejercicio|exercise
el examen|test
en clase|in class
Escucha.|Listen.
Escribe.|Write.
Levanta el dedo (la mano).|Raise your finger (hand).
Repite.|Repeat.
Abre los libros.|Open your books.
Pasa la página ...|Turn to page ...
por favor|please
¿Lo entiendes?|Do you understand?
Sí, lo entiendo.|Yes, I understand.
No, no lo entiendo.|No, I don't understand.
¿Qué significa ...?|What does ... mean?
¿Cómo se dice ...?|How do you say ...?
Aquí esta ... (Aquí estan ...)|Here is ... (here are ...)
Hay ...|There is ... (there are ...)
Hay ...|There is, there are ...
¿Cuántos hay ...?|There are how many ...?
Los numeros cardinales 1-69|Cardinal Numbers 1-69
uno|1
dos|2
tres|3
cuatro|4
cinco|5
seis|6
siete|7
ocho|8
nueve|9
diez|10
once|11
doze|12
trece|13
catorce|14
quinze|15
dieciseis|16
diecisiete|17
dieciocho|18
diecinueve|19
veinte|20
veintiuno|21
veintidós|22
veinteitres|23
veinticuatro|24
veinticinco|25
veintiseis|26
ventisiete|27
veintiocho|28
veintinueve|29
trenta|30
trentaiuno|31
trentaidós|32
trentainueve|39
cuarenta|40
cuarentaiuno|41
cuarentaidós|42
cuarentainueve|49
cincuenta|50
cincuentaiuno|51
cincuentaidós|52
cincuentainueve|59
sesenta|60
sesentaiuno|61
sesentaidós|62
sesentainueve|69
la cita|the date
el calendario|calendar
el día|day
¿Cuáles son los días de la semana?|What are the days of the week?
Lunes|Monday
Martes|Tuesday
Miércoles|Wednesday
Jueves|Thursday
Viernes|Friday
Sábado|Saturday
Domingo|Sunday
¿Qué día es hoy?|What day is it?
Hoy es lunes.|It's Monday.
hoy|today
mañana|tomorrow
la semana|week
la próxima semana|next week
la semana pasada|last week
¿Qué fecha es?|What's the date?
Es 1 de septiembre.|It's September 1st.
Es 2 de octubre.|It's October 2nd.
Es 30 de agosto.|It's August 30th.
el mes|month
¿Cuáles son los meses del año?|What are the months of the year?
Enero|January
Febrero|February
Marzo|March
Abril|April
Mayo|May
Junio|June
Julio|July
Agosto|August
Septiembre|September
Octubre|October
Noviembre|November
Diciembre|December
