pozdravi|salutations|greetings
gospodin|Monsieur|Sir
gospođa|Madame|Ma'am (Mrs.)
gospođica|Mademoiselle|Miss
Dobar dan, gospodine.|Bonjour, Monsieur|Good day (Hello), Sir
Dobra veče.|Bonsoir|Good evening
Doviđenja|Au revoir|Goodbye
Zdravo|Salut!|Hi!
Vidimo se kasnije.|À tout à l'heure!|See you in a little while.
Vidimo se večeras.|À ce soir.|See you this evening.
Vidimo se sutra.|À demain.|See you tomorrow.
Vidimo se uskoro.|À bientôt.|See you soon.
Kako se zovete?|Comment vous appelez-vous?|What's your name? (formal)
Kako se zoveš?|Comment tu t'appelles? (Comment t'appelles-tu?)|What's your name? (informal)
Zovem se ...|Je m'appelle ...|My name is ...
Kako ste?|Comment allez-vous?|How are you? (formal)
Kako si?|Comment vas-tu?|How are you? (informal)
Ja sam veoma dobro, hvala.|Je vais très bien, merci.|I am very well, thank you.
Dobro sam, hvala.|Je vais bien, merci.|I am fine, thank you.
Nisam loše, hvala.|Pas mal, merci.|Not bad, thank you.
Kako ide?|Comment ça va?|How are things going?
Dobro, hvala!|Bien, merci!|Great, thanks!
Kako ide?|Ça va (bien)?|Are things going (well)?
Ide dobro.|Ça va bien.|Things are going (well).
A Vi? Odakle ste Vi?|Et vous? Vous êtes d'où?|And you? Where are you from? (formal)
A ti? Odakle si ti?|Et toi? Tu es d'où?|And you? Where are you from? (informal)
upoznavanje|présentations|introductions
Gospodine, želio bih da Vam predstavim ...|Monsieur, je vous présente ...|Sir, I would like to introduce to you ... (formal)
Ovo je ...|Je te présente ...|This is ... (informal)
Ovo je ...|Voici ...|This is ...
Ko je to?|Qui est-ce?|Who is it?
To je ...|C'est ...|It's ...
Oni su ...|Ce sont ...|They are ...
Kako se on/ona zove?|Comment s'appelle-t-il/elle?|What's his/her name?
On/Ona se zove ..., Njegovo/Njeno ime je ...|Il/Elle s'appelle ...|His/Her name is ...
On/Ona je iz ...|Il/Elle est de ...|He/She is from ...
Kako se oni/one zovu?|Comment s'appellent-ils/elles?|What are their names?
Oni/One se zovu ...|Ils/Elles s'appellent ...|Their names are ...
Šta on/ona radi? Šta je on/ona po zanimanju?|Qu'est-ce qu'il/elle fait?|What does he/she do?
Šta oni/one rade? Šta su oni/one po zanimanju?|Qu'est-ce qu'ils/elles font?|What do they do?
On/Ona je ...|Il est ... Elle est ...|He/She is a/an ...
glumac / glumica|acteur / actrice|actor / actress
arhitekta, arhitektica|architecte|architect
pjevač / pjevačica|chanteur / chanteuse|singer
frizer / frizerka|coiffeur / coiffeuse|hair dresser
zubar / zubarica|dentiste|dentist
inženjer / inženjerka|ingénieur|engineer
novinar / novinarka|journaliste|journalist
doktor / doktorica|médecin|doctor
profesor, profesorka, profesorica|professeur|teacher, professor
penzioner / penzionerka|retraité / retraitée|retired man/woman
pripravnik|stagiaire|intern
učionica, razred|la salle de classe|the classroom
Šta je to?|Qu'est-ce que c'est?|What is it?
To je ...|C'est ...|It's ...
To je učionica.|C'est une salle de classe.|It's a classroom.
U učionici je ..., U učionici ima ..., U učionici se nalazi ...|Dans la salle de classe, il y a ...|In the classroom, there is ...
vrata|une porte|door
prozor|une fenêtre|window
tabla|un tableau (noir)|blackboard
televizor|une télévision|television
karta (svijeta), mapa (svijeta)|une carte (du monde)|map (of the world)
poster|une affiche|poster
stolica|une chaise|chair
sto|un bureau|desk
Na stolu ima ..., Na stolu se nalazi ...|Sur le bureau, il y a ...|On the desk, there is ...
kreda|une craie|chalk
olovka|un crayon|pencil
hemijska olovka|un stylo|pen
teka|un cahier|notebook
knjiga|un livre|book
riječnik|un dictionnaire|dictionary
ruksak|un sac à dos|backpack
U laboratoriji ima ... U laboratoriji se nalazi ...|Au labo, il y a ...|In the lab, there are ...
kompjuteri|des ordinateurs (m)|computers
Studenti uče!|Les étudiants travaillent!|The students work!
domaća zadaća|des devoirs (m)|homework
vježba|un exercice|exercise
test|un examen|test
u razredu, u učionici|en classe|in class
Slušaj.|Écoutez.|Listen.
Piši.|Écrivez.|Write.
Podigni dva prsta (ruku).|Levez le doigt.|Raise your finger (hand).
Ponovi.|Répétez.|Repeat.
Otvorite svoje knjige.|Ouvrez vos livres.|Open your books.
Okreni stranicu broj ..., Otvori stranicu broj ...|Ouvrez le livre à la page ...|Turn to page ...
molim vas|s'il vous plaît|please
